name,released,genres,platforms,rating,metacritic,ratings_count
Georifters,2020-05-28,"Adventure, Action, Puzzle","PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,0
MLB The Show 22,2022-04-01,Sports,"PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,1
FLATLAND Vol.1,2020-04-30,"Arcade, Indie, Adventure, Action","PC, PlayStation 4, Nintendo Switch",0.0,,1
Dungeon and Puzzles,2021-01-15,"Indie, Puzzle","PC, Nintendo Switch, iOS",0.0,,2
Dairoku: Agents of Sakuratani,2020-05-20,Adventure,Nintendo Switch,0.0,,0
Aftermath (2022),2021-12-05,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, macOS",0.0,,0
SBK 22,2022-09-15,"Racing, Simulation, Sports","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",0.0,,0
MECHBLAZE,2020-11-06,"Indie, Action","PC, Nintendo Switch",0.0,,1
Valkyrie Profile: Lenneth,2022-12-22,"RPG, Simulation","PlayStation 5, PlayStation 4",0.0,,0
Under the Jolly Roger,2020-09-03,"Adventure, Action, RPG","Xbox One, Nintendo Switch",0.0,,0
Reknum,2020-01-31,Action,"PlayStation 4, Nintendo Switch",0.0,,1
Ultracore,2020-06-23,,"PlayStation 4, Nintendo Switch",0.0,,0
Scrap Riders,2022-09-21,"Indie, Adventure, Action","PC, Nintendo Switch",0.0,,0
Doubles Hard,2020-04-15,"Casual, Indie","PC, Nintendo Switch",0.0,,2
JUSTICE SUCKS,2022-09-08,Action,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,78.0,2
The Legend of Heroes: Trails in the Dark,2021-09-30,"Adventure, RPG","PC, PlayStation 5, PlayStation 4",0.0,,0
NecroWorm,2020-03-26,,Nintendo Switch,0.0,,1
Pachi Pachi On A Roll,2020-06-25,"RPG, Casual, Strategy, Simulation, Indie","PC, Nintendo Switch, macOS, PS Vita",0.0,,0
R.B.I. Baseball 21,2021-03-16,"Simulation, Sports","PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS",0.0,,1
Exophobia,2021-10-05,"Indie, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,0
Finding the Soul Orb,2020-02-14,"Casual, Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Xbox Series S/X",0.0,,0
HARMONY : The Fall of Reverie,2022-06-01,"Casual, Adventure","PC, Nintendo Switch",0.0,,0
Knight Swap,2020-03-17,"Casual, Strategy, Indie","PC, Nintendo Switch, macOS",0.0,,1
Tales of Symphonia Remastered,2022-02-02,RPG,"Xbox One, PlayStation 4, Nintendo Switch",0.0,,1
Rhythm of the Gods,2020-03-22,"Arcade, Indie, Adventure, Action","PC, PlayStation 4, Nintendo Switch",0.0,,0
Kaichu - The Kaiju Dating Sim,2022-09-02,"Indie, Adventure, RPG, Simulation","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux",0.0,,1
The Falconeer: Warrior Edition,2021-08-05,"Adventure, Action","PlayStation 5, PlayStation 4, Nintendo Switch",0.0,,1
My Universe - Pet Clinic Cats & Dogs,2020-12-03,Simulation,"PC, PlayStation 4, Nintendo Switch",0.0,,0
Bakugan: Champions of Vestroia,2020-11-03,"Action, RPG",Nintendo Switch,0.0,53.0,1
Ladders by POWGI,2021-04-27,"Casual, Puzzle","PlayStation 5, Xbox One, PlayStation 4",0.0,,0
Monster Viator,2020-02-04,"Adventure, RPG, Casual, Strategy, Simulation","PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,0
Cat Quest & Cat Quest II: Pawsome Pack,2020-07-31,"Action, RPG","PlayStation 4, Nintendo Switch",0.0,,0
Trancelation,2020-03-13,"Casual, Indie, Action","PC, Nintendo Switch",0.0,,0
Raven's Hike,2021-09-06,"Indie, Platformer, Adventure, Action","PC, Nintendo Switch",0.0,,2
Miden Tower,2020-05-01,"Adventure, RPG, Casual, Strategy, Simulation, Indie","PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,0
Hindsight 20/20 - Wrath of the Raakshasa,2021-09-09,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",0.0,,2
Glittering Sword,2021-02-05,"Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",0.0,,0
