name,released,genres,platforms,rating,metacritic,ratings_count
Cyberpunk 2077,2020-12-10,"Shooter, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.21,73.0,2890
Hades,2020-09-17,"Indie, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.43,93.0,2029
Fall Guys: Ultimate Knockout,2020-08-04,"Action, Casual, Sports, Indie, Massively Multiplayer","PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.73,80.0,1336
Elden Ring,2022-02-25,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",4.39,95.0,1396
DOOM Eternal,2020-03-20,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch",4.37,86.0,1398
Halo Infinite,2021-12-08,"Shooter, Adventure, Action","PC, Xbox One, Xbox Series S/X",3.64,84.0,721
The Last of Us Part II,2020-06-19,"Shooter, Adventure, Action","PlayStation 5, PlayStation 4",4.41,93.0,1925
Ori and the Will of the Wisps,2020-03-10,"Platformer, Adventure, Action","PC, Xbox One, Xbox Series S/X, Nintendo Switch",4.43,91.0,1279
Ghost of Tsushima,2020-07-17,"Adventure, Action, RPG","PC, PlayStation 5, PlayStation 4",4.41,83.0,1093
Stray,2022-07-19,"Adventure, Action, Puzzle, Indie, Platformer","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",4.15,82.0,1205
It Takes Two,2021-03-26,"Platformer, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.47,88.0,1642
Resident Evil 3,2020-04-02,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.04,80.0,1040
Mafia: Definitive Edition,2020-09-25,"Shooter, Action","PC, Xbox One, PlayStation 4, Xbox Series S/X",4.24,78.0,1083
Final Fantasy VII,2020-04-10,"Adventure, Action, RPG","PC, PlayStation 5, PlayStation 4",4.38,87.0,806
Deep Rock Galactic,2020-05-13,"Indie, Action","PC, PlayStation 5, PlayStation 4",4.11,84.0,670
Vampire Survivors,2022-10-20,"Casual, Indie, Action, RPG","PC, Xbox One, Nintendo Switch, iOS, Android, Web",4.19,,764
Resident Evil: Village,2021-05-07,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS",4.39,83.0,999
Uncharted: Legacy of Thieves Collection,2022-01-28,"Adventure, Action","PC, PlayStation 5",4.46,,499
Forza Horizon 5,2021-11-08,"Racing, Arcade","PC, Xbox One, Xbox Series S/X, iOS",4.3,,741
Marvel's Guardians of the Galaxy,2021-10-26,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.3,,881
Deathloop,2021-09-14,"Action, RPG","PC, PlayStation 5, Xbox Series S/X",3.96,88.0,537
Baldur's Gate III,2023-08-03,"Strategy, Adventure, RPG","PC, PlayStation 5, Xbox Series S/X, macOS",4.43,97.0,917
Assassin's Creed Valhalla,2020-11-10,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.69,82.0,770
Ghostrunner,2020-10-27,Action,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.85,,632
Marvel's Spider-Man: Miles Morales,2020-11-12,Action,"PC, PlayStation 5, PlayStation 4",4.27,86.0,911
Risk of Rain 2,2020-08-11,"Shooter, Arcade, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",4.14,82.0,686
Mass Effect: Legendary Edition,2021-05-14,"Shooter, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",4.57,88.0,550
Genshin Impact,2020-09-28,"Adventure, Action, RPG","PC, PlayStation 5, PlayStation 4, Nintendo Switch, iOS, Android",3.55,83.0,1084
Factorio,2020-08-14,"Casual, Strategy, Indie, Simulation","PC, Nintendo Switch, macOS, Linux",4.37,83.0,788
Hogwarts Legacy,2023-02-10,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.94,,840
MultiVersus,2022-07-26,"Action, Fighting","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.14,,183
Dying Light 2 Stay Human,2022-02-04,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.65,77.0,421
Inscryption,2021-10-19,"Indie, Strategy, Adventure","PC, PlayStation 5, PlayStation 4, Nintendo Switch, macOS, Linux",4.39,86.0,569
Persona 5 Royal,2020-03-31,"Adventure, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.75,94.0,507
Marvel’s Avengers,2020-09-04,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",2.68,68.0,430
The Ascent,2021-07-29,"Indie, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.33,73.0,316
Psychonauts 2,2021-08-24,"Platformer, Adventure, Action","PC, Xbox One, PlayStation 4, Xbox Series S/X, macOS, Linux",4.38,88.0,384
Back 4 Blood,2021-10-07,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.22,76.0,329
Capcom Arcade Stadium,2021-02-17,"Arcade, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",2.68,78.0,73
Crusader Kings III,2020-09-01,"Strategy, RPG, Simulation","PC, PlayStation 5, Xbox Series S/X, macOS, Linux",4.32,86.0,452
Yakuza: Like a Dragon,2020-01-16,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",4.36,85.0,364
Spiritfarer,2020-08-18,"Indie, Adventure, Simulation","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",4.12,84.0,371
Loop Hero,2021-03-04,"Strategy, Indie, RPG, Simulation","PC, Xbox Series S/X, Nintendo Switch, iOS, Android, macOS, Linux",4.05,83.0,469
Horizon Forbidden West,2022-02-18,"Adventure, Action, RPG","PC, PlayStation 5, PlayStation 4",4.19,86.0,448
DiRT 5,2020-11-05,"Racing, Arcade","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.25,79.0,242
Teenage Mutant Ninja Turtles: Shredder's Revenge,2022-06-16,"Adventure, Action, Fighting, Casual, Arcade, Indie","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, Android, Linux",4.08,86.0,431
Far Cry 6,2021-10-07,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.36,75.0,456
Streets of Rage 4,2020-04-30,"Indie, Adventure, Action, Fighting","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS",4.07,84.0,488
Little Nightmares II,2021-02-10,"Platformer, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.37,82.0,536
Watch Dogs: Legion,2020-10-29,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.12,72.0,403
Tunic,2022-03-16,"Indie, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",4.12,86.0,352
Call of Duty: Black Ops Cold War,2020-11-13,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.8,76.0,364
Kentucky Route Zero,2020-01-28,"Indie, Adventure","PC, PlayStation 4, Nintendo Switch, iOS, macOS, Linux",3.98,81.0,312
A Plague Tale: Requiem,2022-10-17,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.29,,458
Maneater,2020-05-22,"Indie, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.44,68.0,256
Astro's Playroom,2020-11-12,"Platformer, Action",PlayStation 5,4.36,83.0,564
Death's Door,2021-07-20,"Indie, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.18,,378
Kena: Bridge of Spirits,2021-09-21,"Shooter, Adventure, Action, Strategy, Indie","PC, PlayStation 5, PlayStation 4, Xbox Series S/X",3.99,80.0,450
Hitman 3,2021-01-20,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.25,83.0,357
Outriders,2021-04-01,"Shooter, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.39,73.0,323
Cult of the Lamb,2022-08-11,"Indie, Strategy, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",4.11,,425
Overwatch 2,2022-10-04,"Shooter, Massively Multiplayer, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.11,78.0,365
God of War: Ragnarök,2022-11-09,Action,"PC, PlayStation 5, PlayStation 4",4.42,,695
Immortals: Fenyx Rising,2020-12-03,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.73,78.0,381
Unpacking,2021-11-02,Casual,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux",4.04,84.0,472
The Dark Pictures Anthology: Little Hope,2020-10-30,"Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",3.79,70.0,445
Hellpoint,2020-07-30,"Indie, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux",2.72,61.0,54
Moving Out,2020-04-28,"Casual, Indie, Action, Simulation","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",3.65,77.0,199
Twelve Minutes,2021-08-19,"Indie, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, iOS",3.53,69.0,571
Battlefield 2042,2021-11-12,"Casual, Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",2.89,,309
Atomic Heart,2023-02-21,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.86,73.0,580
High on Life,2022-12-13,"Shooter, Adventure, Action","PC, PlayStation 5, PlayStation 4, Xbox Series S/X",3.81,,253
Carrion,2020-07-23,"Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",3.86,76.0,444
Lego Star Wars: The Skywalker Saga,2022-04-05,"Platformer, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.87,80.0,221
Disco Elysium: Final Cut,2021-03-30,"Adventure, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, macOS",4.66,90.0,637
Ghostwire: Tokyo,2022-03-24,Action,"PC, PlayStation 5, Xbox Series S/X",3.55,78.0,305
Resident Evil 4,2023-03-24,"Adventure, Action","PC, PlayStation 5, PlayStation 4, Xbox Series S/X, iOS",4.61,,546
Vampire: The Masquerade - Bloodhunt,2021-09-07,Action,"PC, PlayStation 5",2.99,,122
The Medium,2021-01-28,"Adventure, Action","PC, PlayStation 5, Xbox One, Xbox Series S/X",3.53,74.0,401
Ratchet & Clank: Rift Apart,2021-06-11,"Adventure, Action","PC, PlayStation 5",4.39,88.0,394
Black Book,2021-08-10,"Indie, Strategy, Adventure, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",4.06,78.0,187
Subnautica: Below Zero,2021-05-14,"Indie, Adventure","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",4.01,80.0,309
SpongeBob SquarePants: Battle for Bikini Bottom — Rehydrated,2020-06-23,"Family, Platformer, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android",3.7,68.0,185
Journey to the Savage Planet,2020-01-28,"Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",3.64,76.0,212
The Stanley Parable: Ultra Deluxe,2022-04-27,"Casual, Indie, Adventure","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux",4.37,90.0,359
Microsoft Flight Simulator 2020,2020-08-18,Simulation,"PC, Xbox One, Xbox Series S/X",4.14,90.0,270
Grounded,2022-09-27,"Indie, Adventure","PC, PlayStation 5, Xbox One, Xbox Series S/X",3.78,82.0,290
Tetris Effect: Connected,2020-11-10,"Casual, Indie, Puzzle","PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.22,90.0,257
Mount & Blade II: Bannerlord,2022-10-25,"Strategy, Action, RPG, Simulation","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",4.23,78.0,291
Starfield,2023-09-06,"Adventure, RPG","PC, Xbox Series S/X",3.25,88.0,325
Death Stranding Director's Cut,2021-09-24,"Adventure, Action","PC, PlayStation 5, iOS, macOS",4.26,,260
The Quarry,2022-06-09,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.83,,335
Call of the Sea,2020-12-08,"Casual, Indie, Adventure, Puzzle","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.7,77.0,229
Mortal Shell,2020-08-18,"Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch",3.22,75.0,231
Sifu,2022-02-08,"Action, Fighting","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.07,79.0,374
Scarlet Nexus,2021-06-25,"Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.61,79.0,206
Biomutant,2021-05-25,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",2.76,69.0,240
Animal Crossing: New Horizons,2020-03-20,Simulation,Nintendo Switch,4.31,90.0,761
Life is Strange: True Colors,2021-09-10,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.81,,402
Narita Boy,2021-03-30,"Indie, Adventure, Action, Fighting","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",3.33,75.0,76
Tony Hawk's Pro Skater 1 + 2,2020-09-04,"Arcade, Sports","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.29,88.0,232
Returnal,2021-04-30,"Shooter, Action","PC, PlayStation 5",4.16,86.0,299
The Last of Us Part I,2022-09-02,"Shooter, Adventure, Action","PC, PlayStation 5",4.66,,509
Going Under,2020-09-24,"Indie, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",3.72,78.0,73
Monster Train,2020-05-20,"Card, Strategy","PC, Xbox One, Nintendo Switch, iOS",4.08,86.0,127
Worms Rumble,2020-12-01,"Shooter, Action, Casual, Strategy, Indie, Platformer","PC, PlayStation 5, Xbox One, PlayStation 4",2.54,67.0,107
Dead Space,2023-01-27,"Adventure, Action","PC, PlayStation 5, Xbox Series S/X",4.37,,305
DOOM 64 (2020),2020-03-19,"Shooter, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",3.64,76.0,129
Crash Bandicoot 4: It’s About Time,2020-10-01,"Platformer, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.93,84.0,203
Rogue Company,2020-09-30,"Shooter, Adventure, Action, RPG, Strategy","PC, Xbox One, PlayStation 4, Nintendo Switch",3.16,75.0,158
Neon Abyss,2020-07-13,"Platformer, Shooter, Indie, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",3.43,78.0,140
SnowRunner,2020-04-28,Racing,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.99,80.0,273
Marvel's Spider-Man Remastered,2020-11-12,"Casual, Adventure, Action","PC, PlayStation 5",4.47,,425
Resident Evil Re:Verse,2022-10-28,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",1.51,,69
Control Ultimate Edition,2020-08-27,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, macOS",4.31,82.0,341
The Legend of Zelda: Tears of the Kingdom,2023-05-12,"Adventure, Action",Nintendo Switch,4.4,96.0,454
Scorn,2022-10-14,"Indie, Adventure, Action","PC, Xbox Series S/X",3.43,67.0,223
FIFA 21,2020-10-06,Sports,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.21,67.0,264
Tales of Arise,2021-09-10,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.94,85.0,183
West of Dead,2020-06-08,"Indie, Shooter, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",3.08,68.0,64
Hotshot Racing,2020-09-10,"Racing, Indie","PC, Xbox One, PlayStation 4, Nintendo Switch",3.28,75.0,95
Iron Harvest,2020-08-31,"Strategy, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.32,75.0,113
Unrailed!,2020-09-23,"Casual, Indie, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",3.59,73.0,106
The Finals,2023-12-07,"Shooter, Action","PC, PlayStation 5, Xbox Series S/X",3.74,,197
The Forgotten City,2021-07-28,"Indie, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.23,,250
Spellbreak,2020-09-03,"Adventure, Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch",2.91,75.0,161
Greak: Memories of Azur,2021-08-16,"Indie, Platformer, Adventure, Action","PC, PlayStation 5, Xbox One, Xbox Series S/X, Nintendo Switch",3.0,,32
Totally Accurate Battle Simulator,2021-04-01,"Strategy, Indie, Simulation","PC, Xbox One, Nintendo Switch, macOS, Linux",3.74,,229
Hi-Fi Rush,2023-01-25,"Adventure, Action","PC, PlayStation 5, Xbox Series S/X",4.34,,340
Metal: Hellsinger,2022-09-15,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.95,79.0,188
Pathfinder: Wrath of the Righteous,2021-09-02,RPG,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",4.23,81.0,130
Cloudpunk,2020-04-22,"Indie, Adventure, Simulation","PC, Xbox One, PlayStation 4, Nintendo Switch",3.7,65.0,132
Curse of the Dead Gods,2021-02-23,"Adventure, Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch",3.65,81.0,186
PowerWash Simulator,2022-07-14,"Casual, Indie, Simulation","PC, PlayStation 5, Xbox One, Xbox Series S/X",3.97,,148
The Callisto Protocol,2022-12-01,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.51,69.0,237
Alan Wake 2,2023-10-27,Action,"PC, PlayStation 5, Xbox Series S/X",4.36,,377
Monster Hunter Rise,2021-03-26,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.21,87.0,177
Road 96,2021-08-16,"Indie, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.94,78.0,255
Persona 5 Strikers,2020-02-20,"Adventure, Action, RPG","PC, PlayStation 4, Nintendo Switch",3.91,80.0,163
Kingdoms of Amalur: Re-Reckoning,2020-09-08,"Adventure, Action, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch",3.4,72.0,102
The Dark Pictures Anthology: House of Ashes,2021-10-22,"Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.9,73.0,348
Sable,2021-09-23,"Indie, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, macOS",3.48,74.0,155
"Yes, Your Grace",2020-03-06,Strategy,"PC, Xbox One, Xbox Series S/X, Nintendo Switch, iOS, Android, macOS",3.82,,154
FIFA 22,2021-09-27,Sports,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.38,76.0,229
Diablo IV,2023-06-06,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.77,90.0,287
The Suicide of Rachel Foster,2020-02-18,"Casual, Indie, Adventure, Puzzle","PC, Xbox One, PlayStation 4, Nintendo Switch",3.3,63.0,127
Teardown,2022-04-21,"Strategy, Indie, Action, Simulation","PC, PlayStation 5",4.17,80.0,215
Star Wars Jedi: Survivor,2023-04-27,"Adventure, Action","PC, PlayStation 5, Xbox Series S/X",4.2,,235
Turnip Boy Commits Tax Evasion,2021-04-22,"Casual, Indie, Adventure, Action","PC, Xbox One, Nintendo Switch, macOS, Linux",3.87,74.0,96
The Coma 2: Vicious Sisters,2020-01-27,"Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux",3.47,,45
Neon White,2022-06-16,"Indie, Shooter, Adventure, Action","PC, PlayStation 5, PlayStation 4, Nintendo Switch",4.36,88.0,235
PGA TOUR 2K21,2020-08-21,"Simulation, Sports","PC, Xbox One, PlayStation 4, Nintendo Switch",3.45,75.0,43
WWE 2K Battlegrounds,2020-09-18,"Action, Fighting, Sports","PC, Xbox One, PlayStation 4, Nintendo Switch",2.47,58.0,71
Potion Craft: Alchemist Simulator,2022-12-13,"Casual, Indie, Simulation","PC, Xbox Series S/X",3.71,,186
Hot Wheels Unleashed,2021-09-27,Racing,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.42,74.0,106
Dorfromantik,2022-04-28,"Puzzle, Casual, Strategy, Simulation, Indie","PC, Nintendo Switch",3.87,,217
Nioh 2,2020-03-13,Action,"PC, PlayStation 5, PlayStation 4",3.99,85.0,148
Call of Duty: Modern Warfare II,2022-10-22,"Shooter, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.81,,212
Super Animal Royale,2021-08-26,"Adventure, Action, Casual, Indie, Massively Multiplayer","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS",3.02,,98
Ring of Pain,2020-10-14,"Strategy, Indie","PC, Xbox One, Nintendo Switch, macOS",3.71,,60
Marvel's Spider-Man 2,2023-10-20,"Adventure, Action","PC, PlayStation 5",4.37,,277
Weird West,2022-03-31,"Adventure, Action, RPG, Simulation, Indie","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.76,77.0,176
Red Wings: Aces of the Sky,2020-05-21,"Action, Simulation","PC, Xbox One, PlayStation 4, Nintendo Switch",2.14,65.0,27
Paradise Killer,2020-09-03,"Indie, Adventure, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.86,84.0,56
Rustler,2021-08-31,"Indie, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",2.64,62.0,32
Lies Of P,2023-09-19,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, macOS",4.18,,271
Carto,2020-10-26,"Indie, Adventure, Puzzle","PC, Xbox One, PlayStation 4, Nintendo Switch",3.88,75.0,102
Tribes of Midgard,2021-07-27,"Indie, Adventure, Action","PC, PlayStation 5, PlayStation 4",3.15,72.0,83
Trek to Yomi,2022-05-05,"Platformer, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.4,,173
Diablo II: Resurrected,2021-09-23,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.1,80.0,251
Bugsnax,2020-11-12,"Casual, Indie, Adventure, Action","PC, PlayStation 5, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, macOS",3.54,76.0,174
Need for Speed: Hot Pursuit Remastered,2020-11-06,"Racing, Action, Sports","PC, Xbox One, PlayStation 4, Nintendo Switch",3.63,75.0,136
Dragon Ball Z: Kakarot,2020-01-16,"Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.73,74.0,154
Tiny Tina's Wonderlands,2022-03-25,"Shooter, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.61,,126
Spelunky 2,2020-09-15,"Platformer, Indie, Action","PC, PlayStation 4, Nintendo Switch",3.87,90.0,143
Everhood,2021-03-03,"Indie, Adventure, Action, RPG","PC, Nintendo Switch",4.19,82.0,72
Bright Memory,2020-03-25,"Indie, Adventure, Action","PC, Xbox One, Xbox Series S/X",3.52,55.0,178
Estranged: The Departure,2020-05-22,"Shooter, Adventure, Action, Casual, Indie","PC, Nintendo Switch, macOS, Linux",2.63,,80
Nobody Saves the World,2022-01-17,"Indie, Adventure, Action, RPG","PC, PlayStation 5, Xbox One, Xbox Series S/X, Nintendo Switch",3.82,,142
Peaky Blinders: Mastermind,2020-06-01,"Indie, Strategy, Adventure, Puzzle","PC, Xbox One, PlayStation 4, Nintendo Switch",2.76,66.0,33
OMORI,2020-12-25,"Casual, Indie, RPG","PC, Xbox Series S/X, Nintendo Switch, macOS",4.37,,161
Sniper Elite 5,2022-05-25,"Shooter, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.8,,112
Nickelodeon All-Star Brawl,2021-10-05,"Action, Fighting","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",2.86,,53
Kill It With Fire,2020-08-13,"Casual, Indie, Action, Simulation","PC, Xbox One, PlayStation 4, Nintendo Switch, iOS",3.37,,48
Chivalry 2,2021-06-08,"Action, Fighting","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",3.75,78.0,92
Bright Memory: Infinite,2021-11-12,"Indie, Action","PC, PlayStation 5, Xbox One, Xbox Series S/X, Nintendo Switch",3.55,65.0,149
Omno,2021-07-29,Adventure,"PC, Xbox One, PlayStation 4, Nintendo Switch",3.49,76.0,91
Pumpkin Jack,2020-10-23,"Indie, Adventure, Action","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.68,76.0,55
Signalis,2022-10-27,"Indie, Adventure, Action","PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.36,82.0,216
BEAUTIFUL DESOLATION,2020-02-26,"Casual, Indie, Adventure, RPG","PC, PlayStation 4, Nintendo Switch",3.2,70.0,45
Monster Sanctuary,2020-12-08,"Indie, Strategy, Adventure, RPG","PC, Xbox One, PlayStation 4, Nintendo Switch",3.6,79.0,48
Dredge,2023-03-29,"Adventure, RPG","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",4.3,,215
Crysis Remastered,2020-09-18,"Shooter, Adventure, Action","PC, Xbox One, PlayStation 4, Nintendo Switch",3.33,63.0,145
Rogue Legacy 2,2022-04-28,"Indie, Adventure, Action, RPG","PC, Xbox One, Xbox Series S/X, Nintendo Switch",3.99,88.0,161
Grand Theft Auto: San Andreas – The Definitive Edition,2021-11-11,"Adventure, Action","PC, PlayStation 5, PlayStation 4, Xbox One, Xbox Series S/X, Nintendo Switch, PS Vita",3.07,,154
Knockout City,2021-05-21,"Indie, Adventure, Action, Sports","PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",3.15,82.0,95
